review,idx,Location_true,Noisy_true,Scenic Spot_true,Transportation_true,Room Size_true,Smell_true,Recreation Facilities_true,Amenities_true,Bathroom_true,In-room Facilities_true,Renovation_true,View_true,Cleanliness_true
stay victoria place week entir time felt like top la gorgeou view dope hammock mad chill outdoor hang top great place victoria super sweet easi commun girl got goin highli recommend stay,559898,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
great place jay super friendli accommod late arriv ton shop restaur around awesom stay,165237,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
night matthew apart recent found quit roomi clean exactli shown photo great posit although melros ave extrem busi street realli bother us drew curtain night realli hear much nois get key easi matthew explain procedur email realli contact matthew except advis time departur think front step hallway could clean would bodi corport issu would assum would happi stay,318855,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
clean place host friendli host korean speak simpl english still easi commun,615294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
nathsha studio nice comfort clean nice touch comfi bed couch nice shower nice everyth great light stay comfort cool even warm day privat good street park felt safe nice neighborhood abl relax made feel welcom given privaci need thank much highli recommend,809635,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
chri graciou host fun bungalow great commun stay help question realli prime locat quaint spot,595159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jason home exactli need stay comfort clean great neighborhood walk distanc great shop great food welcom warmli instruct clear home,102714,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
matt great host bed good night sleep amaz uber work realli well us get venic santa monica also appreci proxim airport matt easi commun need anyth also met dog realli friendli long everyth work well us,674195,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
victoria accommod kind host hous walk distanc subway good restaur couch comfort overal great experi,451240,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ian great host littl sad get stay full time due health great got ton stuff us look want go anywher great spot downtown super close everyth would definit stay,45814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
robbi great super chill guy easi get along accommod place clean easi get worth money,342777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
best airbnb experi yet luli place big clean beauti penthous center hollywood amaz absolut stay,488479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
wonder experi wonder cute clean home much privaci john ana pia graciou enough allow us drop bag check mention locat wonder close everyth would stay,10090,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
arriv jonathon meet us give us key airbnb well worth money bed comfort would say airbnb perfect travel togeth someon mayb alon room underneath street level mayb someon would find littl scari mayb depend great stay night slept airbnb kitchen use look great would like make breakfast lunch dinner,317473,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
space love peac retreat tuck hill great place come home busi day citi town work open window door felt total safe leav open hung privat airi neat tidi comfi couch bed well equip kitchen bathroom park readili avail head would accustom parallel park park street kaia suggest flatter easi walk slightli less intimid place bookmark next trip la,522404,0.0,1.0,3.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0
excel place stay clean spaciou apart check check easi process great central locat visit tourist locat around la would recommend place stay la anyon,366533,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
nice place conveni locat great hospit friendli,584859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
place right central downtown close restaur shop bar club especi exchangela want check veronica flexibl schedul meetup time easi commun,48000,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
stay kurt love place month wonder stay neighborhood quiet park easi great locat get quickli part lo angel sad time go,205265,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
muhtesem bir evd muhtesem bir tatil gecirdik ev fotograflarda gorundugunden cok daha guzel konforlu mahal muhtesem komsular cok yardm severlerdi evin bahcesind ayrca keyifli zaman gecirdik barbeku yaptk ev sahibimiz cok ilgiliydi balaynda olmasna ragmen mesajmza cok ksa sured cevap verdi bizim icin en onemli kriter olarak evimiz mahallemiz cok cok guvenliydi camasr kurutma makinesi olma isimizi cok kolaylastrd lo angela geldigimizd hep ayn evd kalmaya karar verdik cunku kendimizi gercekten evimizd cok konforlu hissettik,412386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vice nice clean place aran treat us well,29085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
great great great place everyth perfect,252856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
place clean nice cozi look susan made easi obtain key apart clean fresh towel pillow provid especi like littl walk closet hang cloth mini kitchen use need make quick meal cook much food place groceri near plu one last thing thank hair dryer happen near hollywood blvd would book place,875302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0
huge spaciou even peopl great deal larg group peopl hous comfort adjust cool close conveni usc place area nearbi seem bit sketchi walk night run problem check conveni lockbox perfect group might arriv differ time,557954,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
tema daniel perfect host l getaway long flight hectic drive airport greet friendli tema help us bag show us uniqu air bnb locat cool camper van provid us full low area place check go camper great perfect way get retro american experi lot surround area car york ave silver lake regular haunt tema daniel daughter love peopl alway readi help hung beauti veranda overlook l skylin mountain background highli recommend air bnb,930541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
place realli great especi locat free park abl reach everyth want proper time area pretti quit still close everyth apart clean big fridg cool water drink snack next time visit la definit tri contact cindi,495774,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
wow absolut love place lucia one amaz peopl met let alon best air bnb host ever place clean cozi cute best locat ever find place last minut issu anoth reserv book happi come across place would highli highli recommend visit la meet amaz women stay perfect littl apart miss,739866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
wonder apart exactli describ everyth clean good condit like design decor lot everyth chosen well even cold water arriv provid nice e mail convers tiffani need alway found park lot good guidebook lot great tip nearbi restaur groceri store airbnb best thank,409276,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
stay excel minor hiccup retriev key host handl profession promptli great commun quick effici place clean comfort close mani amen car would highli recommend stay,945600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
great host love home,241556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
luca place exactli describ clean well decor excel locat conveni get around la would definit stay,800675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
realli mellow stay clean quit pat extrem help,529493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
condo close everyth want cheap uber ride away main hollywood attract never got wifi work found remot hulu netflix like review say construct inconveni view block huge ad build overal bad first airbnb experi,213433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
kelli wonder host run place care guest environ loft earth friendli name recycl keep guest inform respond quickli place fantast clean great kitchen bed loung area stay night look forward come back,238942,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
beauti home amaz hospit,190643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fantast hous sensat view la beauti decor love patio fruit tree garden first rate cookwar lot cool board game nearbi york blvd silver lake list goe host incred graciou look forward stay next time la,376202,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
thank craig need bed night stay short simpl exactli need place clean quiet star without doubt,198324,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
radu studio exactli describ awesom locat liter minut sunset strip quiet quirki bohemian laurel canyon street park import use studio effici simpl everyth need great shower comfort bed sofa well seat enjoy sit outsid canyon,734585,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
flat excatli seen pictur surpris super nice patio realli felt holiday live californian dream alway easi parkand lot nice place eat breakfeast around jen help easi reach give us tip area realli recommand airbnb,518053,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
favorit place stay lo feliz coco jon ideal host easi home need weekli work la,674768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
khalid excel host promptli answer question check welcom accommod parent especi consid speak english highli recommend,298572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mn stay weekend marisol jerald love home warm invit room advertis privaci secur look central locat highli recommend,46694,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
incred clean newli decor room necessari amen includ smart v fantast plu privaci respect antonio consider polit everyon said street park incred access conveni definit stay,87784,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
pile love express review right jeff robin truli great host hit perfect balanc friendli give guest privaci cottag thought equip realli feel like check hotel everyth need short stay wonder weekend celebr anniversari keep recommend place hope back soon,383809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
oriana great host friendli person made feel right home even offer breakfast home nice clean great locat hollywood hope visit futur,593862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
vanessa quick respond anyth ask first airbnb experi littl nervou made easi comfort arriv coupl hour later plan due traffic howev vanessa went way work make sure got key abl enter without problem kitti seem shi get interact much hope need kitti fix hope next time thank vanessa everyth love place would definit stay,909766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
alex great host made easi perfect locat hollywood nice simpl room privat bathroom,544248,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
great littl place stay get littl warm middl day much light bedroom overal love locat tri stay,647568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
great locat secur develop easi check process al respons,553740,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carol chri place absolut perfect beauti view love look hollywood sign griffith observatori garden garden mani colour plant like tropic paradis love meet carol chri super chill dog sam sam gave us great recommend food actual apart felt like complet privat rest hous carol husband avail question locat ideal explor silverlak lo feliz echo park etc also short car ride place great wholefood supermarket call road would definit stay rachel dan xx,302537,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
apart perfect place stay trip la clean well decor fun hollywood locat austin alway avail question would definit come back,689697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
stay great ever doubt come back place super comfort bri great host,207680,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ron great guy extrem nice apart exactli describ locat perfect case would realli recommend,913538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hous perfect two us small place backyard hous rememb bed probabl one comfort bed ever,454899,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
,882381,,,,,,,,,,,,,
juano nice clean quiet guy apt clean made us feel comfort like home gave us quiet space like even know home good locat walk west hollywood,50727,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
amaz stay miriam commun help apart beauti wonder locat got uber pretti much everywher howev hollywood walk fame within walk distanc approx min would definit stay,629315,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
first urban lifesav strand town book origin plan huge water leak kitchen cancel reserv spent next three hour search new place stay nick time urban came prompt respons work allow apart even though schedul clean crew last minut desper get roof head urban made happen place well pretti self explanatori view amaz insid decor amen luxuri plush couch fine rug screen project heat invent oven washer dryer etc five star experi simpl plain champagn bottl nice touch favorit aspect fact urban provid detail inform brochur provid hous ipad get better,135689,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0
enjoy stay ann home area complex nice wall thin expect apart style live great experi stay definit stay,54491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
first airbnb experi great clean space josh great host quick respond question whole process easi begin end would extend stay place alreadi book one note stay extend period access laundri,281944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
mark show us around made us feel home help everyth need camper cozi perfect go home day need safe place crash night,277159,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
great spot good food good peopl good locat,934884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wonder place extrem clean room bathroom top standard even two type pillow provid like best hotel towel toiletri hair dryer even hair straighten provid conveni locat getti ucla area car park problem definit recommend,113642,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0
kindli quick prepar us arriv clean sheet room thank lot prepar,510895,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
great stay brian commun good,919474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
place clean neighborhood quiet locat great close hollywood blvd attract town host quick answer question minor problem place fix day overal great hous great host,321540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
middl week road trip pleasur stay molli place room home beauti locat ideal easi access everywher max greet us gave tour even abl laundri dish clean comfort peac highli recommend stay get chanc,712676,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
beverli incred host whenev need anyth could text respond right away even nice enough laundri room stay cozi ador decor everywher highli recommend stay,358051,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
super cute place clean conveni lot thing within walk distanc kati easi work super respons recommend point think kati might possibl coolest person ever direct contact,227245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
tyler quickli respond love feel like di everyth power make famili feel welcom eveeyth expect welcom clean apart thank tyler,461863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
nice apart basic amen,847892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fell love locat good vibe even love grant amaz long talk well nonstop laughter love wait see soon,451729,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
everyth went smoothli allen respons bit mislead neighborhood even though usc min away best neighborhood gate overal enjoy stay,390571,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
awesom experi enjoy stay todd warm hospit would definit come back recommend,379520,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spent weekend good experi hous tidi bed comfort price reason recommend,386510,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
thoma accommod made us feel welcom provid us amen list respect space would definit recommend list other,763165,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
le logement est identiqu aux photo et descript fait dan l annonc il est tre bien situ deux pa de grove et dan une resid securise l appart est tre bien equip literi electromenag nou nou somm senti comm la maison,65646,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
group writer dramaturg relax fruit weeklong visit hous call shangri la set set hous perfect group writer everyon could fine special space read write contempl relax hous well equip provid necessari essenti sergey attent meet us upon arriv respons addit request stay descript hous accur us four women felt safe relax tranquil conveni everyth need beauti quiet morn birdsong incred back much good write happen shangri la writer clam prong come back thank much sergey best jean,193656,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
place dirti contract scabi stay first arriv food leftov dead roach kitchen floor bathtub hair sheet stain smelli ac filter unbeliev filthi stay day properti go see doctor found contract scabi unless want bring mite infest home suggest stay away place,596253,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
total enjoy stay host extrem prompt attend need place clean comfort definit recommend place,774493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
room spaciou place clean neighborhood realli safe quiet walk groceri shop restaur convini,905337,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
stay eben mala townhous night perfect locat one small street away hollywood boulevard area safe secur walk everywher night great hous nice home home everyth need gate park hous great asset left suitcas car need bed real comfi rest night sleep vacat definit best hous locat comfort highli recommend,761868,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0
clean easi walk everywher,476184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
dee wonder host great person made sure everyth need even made extra accommod us,650819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nay total accommod welcom even though actual meet room comfort sweet everyth could possibl need want howev older woman travel alon neighborhood felt uncomfort arriv even coupl think room would absolut perfect,76000,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
place describ room good valu price free park highway close get loud avoid room light sleeper otherwis search cheap accomod downtown area place stay,541474,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
un endroit synonym de confort et bien etr dan le quartier anime et haut en couleur de venic lo angel de prestat dign une chambr hotel etoil mai en mieux une sall de bain et une literi haut de gamm avec en prime un larg choix de chose offert grignot et boir de tre bonn qualit une bibliothequ bien fourni avec de beaux ouvrag qui permet de vrai moment de detent proximit une agenc de locat de voitur un super magasin bio rainbow acr et un chiropracteur qui fait de merveil en une seanc seulement si comm moi vou en sentez le besoin en resum la meilleur adress pour ne pa rater son sejour l,136294,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
angelica keep great commun accommod tell care peopl come hous close hollywood boulevard uber charg us less way back walk great locat great host highli recommend,911044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
great locat heart hollywood place spaciou comfort host extrem respons even park option addit car two spot came place thing guest awar time took meet shown park spot apart plan minut also make sure multipl key whole group travel togeth time need key go anywher build includ elev stairwel exit park garag great experi,54739,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excel time barron apart locat perfect build clean quit safe commun super fast easi would definit stay,918187,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
realli nice hous clear comfort thx host,684501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
love stay felt comfort driveway entri amongst love garden made feel home small issu arriv ann great took care immedi locat close freeway right scene silver lake thank ann great stay,689657,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
armin great host home describ mother wonder stay would definit stay given opportun,442156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
everyth fine apart look exactli like pictur self check comfort option samantha guid clear problem check everyth clean view window nice gener pleasant stay,144431,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
bridget wonder would definit recommend place stay venic beach area best,346452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
host anna outsid balconi upstair greet welcom hous beauti spaciou bedroom upstair privat also spaciou comfort could ride bike beach walk great neighborhood sinc bedroom upstair night open window allow fresh cool air insid help sleep well peac relax experi everyon hous friendli help,617132,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
check went smoothli abl contact host need drawback extrem minor quit figur work tv remot provid apart clean close hollywood strip,668943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
nice stay thank,2997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
great stay vec airbnb respons clear instruct make check check process easi hassl free airbnb comfort absolut perfect one look place stay hollywood would definit recommend vec airbnb peopl,872100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aaron great enjoy experi aaron great host room exactli descript well taken care,841576,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fay place love wait us late check easi commun would stay,470909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
place shown pictur neighbourhood well locat tim attent host solv enquir fast would recommend place,471221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kaley email necessari inform key written commun hous inform need apart good locat park challeng la,858405,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ben maura wonder host plan chang come back la earlier plan gratifi find room avail second stay graciou home pleasant first wonder provid access kitchen coffe roll fruit morn guest importantli made feel comfort eas home friendli eas talk mani thing real joy knowledg area traffic rout lax help look forward stay next time visit la andi,800885,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
amaz hous perfect locat minut drive hollywood blvd judith welcom help would recommend hous anyon,232395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
girlfriend stay night go disneyland great time esther incred respons profession place clean great locat place super comfort great experi next time visit definit come back,720566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
geneviev loft beauti enjoy superbl locat alway avail help fulli recommend,453327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
great place locat heart hollywood unit clean picturesqu highli recommend,93060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
robert absolut wonder host made access super respons place perfect need place crash loung whirlwind trip l,543534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lisa wonder job make us feel home although small space describ met need room tidi gave us tour ensur knew everyth also locat beat easi walk restaur bar neighborhood would definit stay,880924,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
receiv sever text messag prior arriv made wife comfort space clean central locat relax made use picnic tabl back delici breakfast take view bed comfort shower great everyth need memor stay spent time visit friend famili get around neighborhood definit recommend garden guest hous friend travel famili member thank much wonder accommod robert allegra lewi,274234,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0
love stay sim place beverli hill spaciou clean well locat,857259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
cisti dobr vybaveni byt k dispozici byla smart tv internet dobra dostupnost k vetsin turistickych mist celkem dobr sousedstvi bezdomovcum se v la nevyhnet moznost zaparkovat auto dvora byt je blizko hlavni silnic takz v noci je slyset hluk aut celkov jsme byli velmi spokojeni,509466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
realli enjoy stay jason apart park conveni jason thought friendli went way make sure could get apart need left glass bathroom email left note car leav without save lot hassl later overal experi good want chanc explor hollywood definit return make trip,174967,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
,851291,,,,,,,,,,,,,
wonder love airi space expans view decor neighborhood car make hill great park spot coffe balconi bliss bed comfi mani thought touch made littl loft special place stay la,403406,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
